FECHA,x,y,MCARI_OSAVI,CI_green,NDRE,NDVI,MCARI_OSAVI_RE,MTCI,TCARI_OSAVI,CCCI_simpl,GNDVI,CCCI,RVI,CIred_edge,TCARI_OSAVI_RE,Altura_PTA,SPAD,N_TOTAL,NO3-NH4,M.O.,P2O5 mg/kg,P2O5 kg/ha,%Humedad,% ARENA,% ARCILLA,% LIMO,CLASE TEXTURAL
10/10/2017,673190,2834611,0.017272913,4.906615806,0.196962007,0.796900776,0.265293457,0.591155374,0.918207276,0.623588735,0.706962335,0.246642637,9.028456974,0.49259593,2.420159024,126,55.8,2.66,,,,,,60.04,23.24,16.72,FRANCO ARCILLOSO ARENOSO
10/10/2017,673220,2834641,0.009969821,5.587667465,0.239529394,0.813930812,0.308088581,0.75701891,0.855682395,0.76245926,0.739691899,0.294183621,9.837154465,0.630709148,2.49484375,132,55.3,2.37,,,,,,60.04,23.24,16.72,FRANCO ARCILLOSO ARENOSO
10/10/2017,673235,2834655,0.007981826,5.344405441,0.222216708,0.807521696,0.298600438,0.688081167,0.896838694,0.706878943,0.725634971,0.275260209,9.432454643,0.572326431,2.503674059,132,57.5,2.56,,,,,,64.04,23.24,12.72,FRANCO ARCILLOSO ARENOSO
10/10/2017,673262,2834676,0.080546491,4.323513174,0.204031059,0.728020387,0.257113558,0.682431566,0.92045244,0.631558801,0.681137297,0.281839409,6.492368221,0.514129365,2.166817832,114,55.1,2.76,,,,,,62.04,21.96,16,FRANCO ARCILLOSO ARENOSO
10/10/2017,673277,2834693,0,5.310765833,0.203117149,0.824052985,0.253854139,0.599284372,0.809422026,0.654275496,0.730571318,0.2467073,10.52271423,0.51098776,2.366350765,112,50.9,2.81,,,,,,64.04,21.96,14,FRANCO ARCILLOSO ARENOSO
10/10/2017,673282,2835115,0,7.339777432,0.258815239,0.890725904,0.356957387,0.776990755,0.619362881,0.826422091,0.787432973,0.290629734,17.32472973,0.70005955,3.002806015,150,52.5,1.8,,,,,,79.32,14.68,6,FRANCO ARENOSO
10/10/2017,673291,2835169,0,7.943100905,0.285001843,0.891798127,0.388913361,0.889357264,0.658171113,0.926174945,0.800030174,0.319619014,17.53860012,0.797649856,3.174152861,176,51.8,2.36,,,,,,81.32,14.68,4,FRANCO ARENOSO
10/10/2017,673294,2835126,0,7.961417351,0.273427731,0.899692128,0.39131358,0.830163105,0.593636246,0.892232995,0.797191925,0.303901273,18.95293655,0.75326699,3.235028734,156,51.4,1.98,,,,,,81.32,12.68,6,FRANCO ARENOSO
10/10/2017,673515,2834941,0,6.994821,0.250455374,0.853241897,0.365050321,0.770475361,0.861273849,0.801884857,0.777239041,0.293408233,12.8410981,0.669140375,3.064470062,157,56.3,2.69,,,,,,67.32,22.68,10,FRANCO ARCILLOSO ARENOSO
10/10/2017,673533,2834967,0,6.735078335,0.240728537,0.838899112,0.308529002,0.741319137,0.807348476,0.79167124,0.765261631,0.286867204,11.49428047,0.635255699,2.607691393,161,60.1,2.56,,,,,,65.32,24.68,10,FRANCO ARCILLOSO ARENOSO
10/10/2017,673541,2834974,0,7.283951969,0.263877481,0.857164741,0.331397921,0.826820762,0.754650872,0.858862975,0.783395059,0.307681315,13.13067047,0.718154516,2.72850708,158,57.6,2.66,,,,,,65.32,24.68,10,FRANCO ARCILLOSO ARENOSO
10/20/17,672954,2834824,0.080300912,6.475496273,0.234769488,0.808722501,0.806729803,0.743026054,2.324793353,0.743647058,0.763712668,0.290477521,9.513705158,0.614954093,6.984527473,197,51.4,2.18,33.966975,2.418561151,28.018738,105.0702675,20.24096386,63.32,23.04,13.64,FRANCO ARCILLOSO ARENOSO
10/20/17,672990,2834852,0,7.990538616,0.252811924,0.8667609,0.938841982,0.770653894,2.040415087,0.805217056,0.799174008,0.291623126,14.04708954,0.678250029,8.182812138,185,54.9,3.47,32.26862625,2.483757987,65.809624,246.78609,16.86836716,65.32,19.04,15.64,FRANCO ARENOSO
10/20/17,673001,2834864,0,7.065817108,0.221292725,0.843308053,0.797608125,0.657215622,2.186570392,0.697657466,0.778729041,0.262307836,11.86029198,0.569640909,7.473598919,175,51.3,3.13,32.26862625,2.28374026,67.13562,251.758575,15.76429111,65.32,20.68,14,FRANCO ARCILLOSO ARENOSO
10/20/17,673041,2834885,0,8.022182808,0.28335755,0.851490409,0.8581563,0.931215525,1.956082487,0.909454324,0.799543026,0.33266374,12.53634129,0.796251872,7.153786507,195,55.8,3.33,37.3636725,3.630017996,97.08392,364.0647,18.83345046,67.32,18.68,14,FRANCO ARENOSO
10/20/17,673054,2834896,0.046425525,7.351385536,0.262257201,0.839065697,0.966776307,0.84177007,2.354097309,0.837449162,0.785424795,0.312683069,11.5229184,0.714081519,8.112499447,185,53.4,3.33,27.17358,2.015467626,62.441872,234.15702,18.85192433,67.32,20.68,12,FRANCO ARCILLOSO ARENOSO
10/20/17,673203,2834616,0,6.645699368,0.224460864,0.817483032,0.883953383,0.689986057,2.607318888,0.708468769,0.768231573,0.274582615,10.01060795,0.580128833,7.998591862,180,43,3.22,30.5702775,1.344182327,38.934768,146.00538,17.32332708,60.04,23.24,16.72,FRANCO ARCILLOSO ARENOSO
10/20/17,673222,2834635,0,7.369541874,0.261105926,0.843081493,0.851127372,0.828838587,2.042502699,0.833520432,0.786152101,0.309699893,11.77647106,0.708000848,7.08922142,190,49.6,2.67,28.87192875,2.487732,146.57256,549.6471,19.7907585,60.04,23.24,16.72,FRANCO ARCILLOSO ARENOSO
10/20/17,673235,2834645,0.212209144,5.160499001,0.241367317,0.717925012,0.66939281,0.876063869,2.033220453,0.766162221,0.718866808,0.336368942,6.202049904,0.639022845,5.276456375,176,50.1,3.27,35.66532375,3.495572885,147.809776,554.28666,18.5546875,64.04,23.24,12.72,FRANCO ARCILLOSO ARENOSO
10/20/17,673257,2834685,0.236092918,5.113663883,0.219388072,0.716799536,0.733388101,0.767035149,2.522822723,0.691157814,0.717721012,0.306743594,6.159104748,0.565072908,6.295968514,168,49.7,3.48,54.34716,2.487732,165.1308,619.2405,20.76263108,62.04,21.96,16,FRANCO ARCILLOSO ARENOSO
